circle,circle_size,best_louvain_community,best_overlap,best_jaccard
circle15,133,0.0,65,0.3735632183908046
circle6,20,5.0,15,0.3409090909090909
circle16,32,1.0,15,0.3125
circle19,13,5.0,12,0.3
circle11,30,0.0,20,0.1724137931034483
circle4,17,0.0,15,0.1388888888888889
circle0,20,4.0,12,0.1
circle20,6,5.0,4,0.0975609756097561
circle9,10,1.0,3,0.07894736842105263
circle23,3,5.0,3,0.07692307692307693
circle10,4,5.0,3,0.075
circle2,9,5.0,3,0.06666666666666667
circle17,9,4.0,5,0.04310344827586207
circle13,5,4.0,4,0.035398230088495575
circle3,3,4.0,3,0.026785714285714284
circle7,2,4.0,2,0.017857142857142856
circle14,2,4.0,2,0.017857142857142856
circle1,1,4.0,1,0.008928571428571428
circle5,1,4.0,1,0.008928571428571428
circle8,1,4.0,1,0.008928571428571428
circle12,1,4.0,1,0.008928571428571428
circle18,1,4.0,1,0.008928571428571428
circle22,1,4.0,1,0.008928571428571428
circle21,1,,0,0.0
