node,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,global_importance_score,business_role
107,0.258791480931154,0.45969945355191255,0.4805180785560152,0.006936420955866117,0.9820900430185587,Acteur influent
1684,0.1961367013372957,0.39360561458231796,0.3377974497301992,0.006367162138306824,0.7582833744705791,Acteur influent
3437,0.13546310054482416,0.31441252043914975,0.23611535735892905,0.0076145868447496,0.6010659423550269,Acteur intermédiaire
1912,0.18697374938088163,0.35094733182687293,0.2292953395868782,0.003876971600884498,0.5838322680536288,Acteur intermédiaire
0,0.08593363051015354,0.35334266713335666,0.14630592147442917,0.006289602618466542,0.48019674246308464,Acteur intermédiaire
348,0.05671124318969787,0.36991572004397216,0.03799809748091909,0.002348096972780577,0.2863535949963171,Acteur intermédiaire
414,0.03937592867756315,0.3695433330282786,0.04763337297172344,0.001800299047070226,0.25752256496547266,Acteur intermédiaire
1085,0.016344725111441305,0.35785182559376105,0.14901509211665306,0.0005978437664765088,0.2540293547168484,Acteur intermédiaire
428,0.02847944526993561,0.3948371956585509,0.06430906239323866,0.0007800171933479687,0.24631920982010166,Acteur accessible
483,0.057206537890044575,0.3698479575013739,0.010308265926953497,0.0012974283300616095,0.24184513577955116,Acteur intermédiaire
563,0.022535908865775136,0.3939127889961955,0.06278022847240787,0.0007402839803830181,0.23676193604072474,Acteur accessible
58,0.0029717682020802376,0.3974018305284913,0.08436020590796486,0.00021402001229947393,0.21611479086910476,Acteur accessible
1577,0.04210004952947003,0.35718708536045995,0.03978470502937034,0.0005301520358229054,0.21345895055124445,Acteur intermédiaire
1718,0.03838533927686973,0.3566507684154743,0.03734287067796221,0.0005256521195978915,0.20712414777922958,Acteur intermédiaire
1663,0.058197127290737984,0.3391852162956741,0.001100111178803195,0.0006645344956311117,0.1987418053545809,Acteur intermédiaire
1352,0.05794947994056463,0.3391567277003192,0.0011108897670658814,0.0006690772431300504,0.19856090511505273,Acteur intermédiaire
376,0.03293709757305597,0.36655773420479304,0.006195646424799318,0.0009014073664792465,0.1983198287616919,Acteur intermédiaire
567,0.015601783060921248,0.3288809252321225,0.09631033121856215,0.00048244265191169,0.1966273895138545,Acteur intermédiaire
1888,0.0629024269440317,0.3212921705919796,0.00011843302938197081,0.0007117172673725062,0.19211962551133405,Acteur intermédiaire
475,0.03021297672114908,0.3661920740001814,0.004998494829229422,0.0007853586142469625,0.1910868728398189,Acteur intermédiaire
698,0.016840019811788013,0.27118871725990595,0.11533045020560802,0.0013171153138368812,0.19098497888308347,Acteur intermédiaire
1800,0.06067360079247152,0.32159923542529467,0.00015282194124476646,0.0006984646532952213,0.18942310086067,Acteur intermédiaire
2543,0.07280832095096582,0.29129995671620257,0.007604626657378419,0.0006731141618825244,0.18595519405164268,Acteur intermédiaire
1126,0.04903417533432392,0.33813431585998993,0.0009168876828291216,0.0005661927301412862,0.18465129338540937,Acteur intermédiaire
1730,0.055968301139177806,0.32111332007952287,0.00013668118280842057,0.0006613437938392171,0.18262761337757036,Acteur intermédiaire
1621,0.046805349182763745,0.3378796753409756,0.0008622883580861532,0.0005402959111513511,0.18116612685113187,Acteur intermédiaire
1431,0.05448241703813769,0.3204253293128075,0.00015418331946305362,0.0006584499181463515,0.18034907790401938,Acteur intermédiaire
1465,0.02674591381872214,0.35461491174145954,0.024571838924158013,0.00035714080659750747,0.1797481105979198,Acteur intermédiaire
1835,0.04507181773155027,0.3384177003017097,0.000821001408870681,0.0005452217677097289,0.17964127556954104,Acteur intermédiaire
484,0.026498266468548786,0.3631621548700423,0.002898484557823389,0.0006189037515495884,0.17891634600467532,Acteur intermédiaire
1376,0.04507181773155027,0.3382192813468465,0.0007910239758386794,0.0005180650615935587,0.17876436724490263,Acteur intermédiaire
1199,0.05373947498761763,0.3203490678302261,6.814670861894296e-05,0.0006046332762404054,0.17795783576165883,Acteur intermédiaire
1584,0.05225359088657751,0.3212921705919796,0.00026402558260508037,0.0006345434577260155,0.177816086587818,Acteur intermédiaire
1086,0.050767706785537395,0.322240842710079,0.0006036875550108642,0.000658630841076691,0.17761428602126852,Acteur intermédiaire
353,0.02526002971768202,0.36309684380901,0.002140594299832667,0.0006135843200040693,0.17681949941836905,Acteur intermédiaire
1768,0.051758296186230804,0.32067979669631513,0.00011200690654905106,0.0006160685975883845,0.176223390368888,Acteur intermédiaire
2347,0.07206537890044576,0.2834081976417743,0.0031998747402823065,0.0006288535706462458,0.17556619649053476,Acteur intermédiaire
1589,0.050767706785537395,0.3200443845605136,4.930301749291871e-05,0.0005697724164080938,0.17336062715153458,Acteur intermédiaire
925,0.041357107478949974,0.3372588323728389,0.0007564082942056397,0.0004844567692360999,0.17286232304171478,Acteur intermédiaire
1827,0.04977711738484398,0.3199429522224863,8.406833502583755e-05,0.0005855646489119565,0.17257789050172112,Acteur intermédiaire
1746,0.05002476473501733,0.31996830427892237,7.035702440811052e-05,0.0005642596543666145,0.17231204992777918,Acteur intermédiaire
566,0.021050024764735015,0.36496746203904556,0.0017873986581210663,0.0005232641470441746,0.1706579268821588,Acteur intermédiaire
1420,0.03665180782565626,0.33870156014091596,0.006056580020060359,0.0004405224865045448,0.17057653970836897,Acteur intermédiaire
1804,0.04829123328380386,0.31979092421002614,4.42080019654482e-05,0.0005445079243357052,0.1696365491567934,Acteur intermédiaire
1390,0.047795938583457154,0.3197402803072294,4.9723836293144135e-05,0.0005404067445837945,0.16892098197900882,Acteur intermédiaire
1377,0.0470529965329371,0.3201966537150107,7.45619948822765e-05,0.000551755504577734,0.1686984415564055,Acteur intermédiaire
1522,0.03863298662704309,0.33694926568758343,0.0006306175250255831,0.0004465716394287559,0.16840236148257973,Acteur intermédiaire
1612,0.0470529965329371,0.32014588123364784,8.542058878706568e-05,0.0005331174083343785,0.1681769199750141,Acteur intermédiaire
1833,0.04730064388311045,0.3196896524424036,3.957118094084549e-05,0.0005311171738532418,0.16805862163653867,Acteur intermédiaire
1559,0.04606240713224368,0.31956315289648624,5.323862515664463e-05,0.0005279078213323425,0.16645572294942762,Acteur intermédiaire
1714,0.04631005448241703,0.319588444796201,3.487911609054845e-05,0.0005151324228978032,0.1664121991853633,Acteur intermédiaire
1707,0.04581475978207033,0.31953786499960435,3.599617504221348e-05,0.0005128931092303412,0.16574310206589726,Acteur intermédiaire
1078,0.045319465081723624,0.3200190204469805,4.875552861399018e-05,0.0005069434233941203,0.16536114578461691,Acteur intermédiaire
916,0.03640416047548291,0.33669640623697156,0.0007164342020876627,0.00042155073063063117,0.1650292582560809,Acteur intermédiaire
1613,0.04507181773155027,0.3194620253164557,4.1041947465083036e-05,0.0005114431612646903,0.16479199795509578,Acteur intermédiaire
1361,0.03392768697374938,0.3383042895442359,0.0019978523087357245,0.0004212053215125313,0.1640891876388789,Acteur intermédiaire
1610,0.04432887568103021,0.3193862216246144,3.7894706051827186e-05,0.0005003641267370858,0.16358150586986156,Acteur intermédiaire
651,0.018078256562654778,0.36228243315987796,0.0015916624335769354,0.0004568833736083705,0.1634263395838087,Acteur intermédiaire
1622,0.043833580980683504,0.3198162521780453,8.608098515414191e-05,0.0005030088722789564,0.16341231105365828,Acteur intermédiaire
1399,0.044081228330856856,0.3193609617209744,4.6908498641589444e-05,0.0005031124896682368,0.16335440956361894,Acteur intermédiaire
1391,0.0433382862803368,0.3192852059777022,4.075767919789526e-05,0.0004950229194450298,0.16222102630998286,Acteur intermédiaire
517,0.025755324418028726,0.34122021294574956,0.0016732882821071779,0.0006354935542122408,0.1621351292072575,Acteur intermédiaire
1211,0.042842991579990095,0.31923472211241993,3.71436471962392e-05,0.0004891572250914299,0.16145327306448745,Acteur intermédiaire
171,0.005448241703813769,0.37049270575282134,0.015492407332440639,0.000378355466254029,0.16121026302947034,Acteur intermédiaire
1551,0.04234769687964338,0.3191842542091534,3.334369795309623e-05,0.0004835813931717491,0.1606930701830429,Acteur intermédiaire
1471,0.04185240217929668,0.3191338022603335,5.392117361725396e-05,0.0005024648137424786,0.16059405238496807,Acteur intermédiaire
1509,0.03244180287270926,0.3367806505421184,0.0005079453349450896,0.0003924403695921726,0.15959247034083918,Acteur intermédiaire
946,0.04110946012877662,0.31953786499960435,8.511510425286508e-05,0.00048084628682902646,0.15946766070097776,Acteur intermédiaire
1367,0.04110946012877662,0.319588444796201,4.879925192318115e-05,0.0004739846772732844,0.1592997196910068,Acteur intermédiaire
1059,0.04086181277860327,0.319032946195781,3.169628100030295e-05,0.00046994632312193443,0.15850028735998292,Acteur intermédiaire
1839,0.04086181277860327,0.319032946195781,3.0758887011726886e-05,0.0004679126768172423,0.15844599473342455,Acteur intermédiaire
366,0.024021792966815253,0.34098969768620163,0.0011759820154842828,0.0005863987491589503,0.15835278066915992,Acteur intermédiaire
1813,0.03863298662704309,0.3199176041831722,0.00010104677450332539,0.00048062132421869874,0.15686795264827508,Acteur intermédiaire
1173,0.02847944526993561,0.33892899110290414,0.0009424796942841418,0.00039229935063743383,0.15678898693857124,Acteur intermédiaire
1554,0.0396235760277365,0.3189069657242142,3.228550071230128e-05,0.0004594350663254522,0.15669675351882806,Acteur intermédiaire
917,0.032194155522535906,0.3202982470056318,0.0003063325697344238,0.0007331559412352087,0.15646463418904788,Acteur intermédiaire
1516,0.03937592867756315,0.31888178156834873,1.6667350364547767e-05,0.00043989313996829315,0.1558656594178637,Acteur intermédiaire
580,0.020802377414561663,0.34503973340169186,0.001441120586959375,0.0005182120759522529,0.15585994282812554,Acteur intermédiaire
1184,0.0391282813273898,0.3188566013897663,2.662765175385573e-05,0.00044594950293191303,0.15572657300542125,Acteur intermédiaire
526,0.024269440316988605,0.3408457837427197,0.0017951948450460643,0.0004640796734963514,0.15569408592812206,Acteur intermédiaire
606,0.022535908865775136,0.3408745568124261,0.0009971808398747772,0.0005412645640458651,0.15524322430834533,Acteur intermédiaire
637,0.02847944526993561,0.32564516129032256,0.001518045136600804,0.0006673468005384597,0.15497242987894122,Acteur intermédiaire
1736,0.03863298662704309,0.31880625296068216,2.5690699020729056e-05,0.00043807852930130965,0.15490762914330627,Acteur intermédiaire
1185,0.03863298662704309,0.31880625296068216,1.8782148890772803e-05,0.0004361552550076923,0.15485252342688555,Acteur intermédiaire
1238,0.037642397226349676,0.3198162521780453,8.270580129473509e-05,0.0004491835163622033,0.15480480021889664,Acteur intermédiaire
993,0.03813769192669638,0.3192852059777022,4.2643985408785296e-05,0.00044112930118303994,0.15476442288053696,Acteur intermédiaire
2047,0.050767706785537395,0.28170782754290496,0.0014761342550475066,0.0008410291545974014,0.15417249262875848,Acteur intermédiaire
